pair_id,status,reasons
v11_SYN_0457_01101_drop_orbit_left_72_seed40101_drop_motion_failure_synthetic,PASS,
v10_TypeM_055_04357_containment_orbit_left_44_seed43357_foreground_identity_color_shift,PASS,
v10_TypeM_058_prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch_local_patch_drift,PASS,
v10_TypeM_061_prefix5_anchored_d86ae2fb1d25b2_freeze_foreground_local_patch_freeze,PASS,
v11_SYN_0034_02228_collision_orbit_right_64_seed41228_local_scene_patch_drift,PASS,
v11_SYN_0194_v6_02200_collision_orbit_right_64_seed41200_object_deformation_visible,PASS,
v11_SYN_EXTRA_0171_04249_containment_orbit_left_44_seed43249_object_duplicate_or_fragment,PASS,
v11_SYN_0460_01101_drop_orbit_left_72_seed40101_object_identity_color_shift,PASS,
v11_SYN_0484_03409_roll_orbit_right_60_seed42409_partial_freeze_foreground,PASS,
v11_SYN_EXTRA_0178_04260_containment_orbit_left_44_seed43260_reobserve_mismatch_visible,PASS,
v11_SYN_0577_03533_roll_orbit_right_60_seed42533_roll_event_fragment_synthetic,PASS,
v11_SYN_0506_03435_roll_orbit_right_60_seed42435_wrong_camera_motion_visible,PASS,
v11_SYN_0509_03435_roll_orbit_right_60_seed42435_background_drift_visible,PASS,
v11_SYN_0073_02288_collision_orbit_right_64_seed41288_collision_response_failure_synthetic,PASS,
v11_SYN_0277_04279_containment_orbit_left_44_seed43279_containment_failure_synthetic,PASS,
v11_SYN_0463_01102_drop_orbit_left_72_seed40102_drop_motion_failure_synthetic,PASS,
v10_TypeM_023_prefix5_anchored_1128e39109fc83_object_deformation_foreground_identity_color_shift,PASS,
v10_TypeM_026_prefix5_anchored_525c18bc4422f0_background_drift_local_patch_drift,PASS,
v11_SYN_EXTRA_0024_02228_collision_orbit_right_64_seed41228_local_scene_patch_drift,PASS,
v11_SYN_0212_v6_02226_collision_orbit_right_64_seed41226_object_deformation_visible,PASS,
v11_SYN_0267_04260_containment_orbit_left_44_seed43260_object_duplicate_or_fragment,PASS,
v11_SYN_0466_01102_drop_orbit_left_72_seed40102_object_identity_color_shift,PASS,
v11_SYN_0490_03410_roll_orbit_right_60_seed42410_partial_freeze_foreground,PASS,
v11_SYN_0272_04267_containment_orbit_left_44_seed43267_reobserve_mismatch_visible,PASS,
