manifest_path,total_rows,read_error,prefix_exists,image_exists,gt_full_exists,gt_future_exists,target_exists,prompt_exists_or_text,poses_exists,intrinsics_exists,runnable,can_cut_prefix_future,template_distribution,camera_motion_distribution,path_root_type
manifests/small_lora_screen16_prefix8.jsonl,16,,0,16,16,0,16,16,16,16,0,16,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{"""": 16}"
manifests/stageA_v2v5_pilot_test.jsonl,100,,0,0,0,0,0,100,0,0,0,0,"{""collision"": 31, ""containment"": 18, ""drop"": 28, ""roll"": 23}",{},{}
manifests/stageA_v2v5_pilot_train.jsonl,800,,0,0,0,0,0,800,0,0,0,0,"{""collision"": 240, ""containment"": 157, ""drop"": 247, ""roll"": 156}",{},{}
manifests/stageA_v2v5_pilot_val.jsonl,100,,0,0,0,0,0,100,0,0,0,0,"{""collision"": 29, ""containment"": 25, ""drop"": 25, ""roll"": 21}",{},{}
reports/dpo_pair_hardness_v4/codex_visual_review.csv,42,,0,0,0,0,0,0,0,0,0,0,"{""collision"": 8}",{},{}
reports/dpo_pair_hardness_v4/dpo_ready_pairs_v4.jsonl,42,,42,42,42,42,42,42,42,42,42,42,"{""collision"": 38, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 38}","{""local_assets"": 126}"
reports/dpo_pair_hardness_v4/pair_audit.csv,42,,0,0,0,0,0,0,0,0,0,0,"{""collision"": 8}",{},{}
reports/dpo_pair_hardness_v4/pair_audit.jsonl,42,,42,42,42,42,42,42,42,42,42,42,"{""collision"": 38, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 38}","{""local_assets"": 126}"
reports/dpo_pair_hardness_v4/protocol_v4_pair_audit.csv,42,,0,0,0,0,0,0,0,0,0,0,"{""collision"": 8}",{},{}
reports/dpo_pair_hardness_v4/protocol_v4_pair_metric_summary.csv,42,,0,0,0,0,0,0,0,0,0,0,"{""collision"": 8}",{},{}
reports/dpo_pair_hardness_v4/protocol_v4_reward_margin_summary.csv,42,,0,0,0,0,0,0,0,0,0,0,"{""collision"": 8}",{},{}
reports/dpo_pair_hardness_v4/protocol_v4_subreward_alignment.csv,42,,0,0,0,0,0,0,0,0,0,0,"{""collision"": 8}",{},{}
reports/dpo_pair_hardness_v4/subreward_alignment.csv,42,,0,0,0,0,0,0,0,0,0,0,"{""collision"": 8}",{},{}
reports/dpo_pair_hardness_v4/typeA_plus_pairs.jsonl,34,,34,34,34,34,34,34,34,34,34,34,"{""collision"": 30, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 30}","{""local_assets"": 102}"
reports/dpo_pair_hardness_v4/typeA_plus_selection.csv,34,,0,0,0,0,0,0,0,0,0,0,"{""collision"": 30, ""containment"": 4}",{},{}
reports/dpo_pair_hardness_v4/typeA_strength_sweep.csv,136,,0,0,0,0,0,0,0,0,0,0,"{""collision"": 120, ""containment"": 16}",{},{}
reports/dpo_pair_hardness_v4/typeB_closeness_audit.csv,16,,0,0,0,0,0,0,0,0,0,0,{},{},{}
reports/dpo_pair_hardness_v4/typeM_pair_audit.csv,14,,0,0,0,0,0,0,0,0,0,0,"{""collision"": 14}",{},{}
reports/dpo_pair_visual_audit/pair_audit.csv,50,,0,0,0,0,0,0,0,0,0,0,"{""collision"": 44, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 44}",{}
reports/dpo_pair_visual_audit/pair_audit.jsonl,50,,0,0,0,0,0,0,0,0,0,0,"{""collision"": 44, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 44}",{}
reports/dpo_pair_visual_audit/pair_schema_audit.csv,50,,0,0,0,0,0,50,50,50,0,0,"{""collision"": 44, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 44}",{}
reports/dpo_preference_protocol_v1/dpo_ready_pair_selection.csv,66,,0,0,0,0,0,0,0,0,0,0,"{""collision"": 44, ""containment"": 6}",{},{}
reports/dpo_preference_protocol_v1/dpo_ready_pairs.jsonl,50,,50,34,50,50,50,34,34,34,34,34,"{""collision"": 40, ""containment"": 10}","{""orbit_left_44"": 10, ""orbit_right_64"": 40}","{""local_assets"": 150}"
